Host,Dopant,AN,G,P,"R
 (Angstrom)",EN,Agg
Cu,Ca,20,2,4,1.94,1.04,0.890322
Cu,Sc,21,3,4,1.84,1.2,0.745071
Cu,Ti,22,4,4,1.76,1.32,0.008725
Cu,V,23,5,4,1.71,1.45,-0.596267
Cu,Cr,24,6,4,1.66,1.56,0.248274
Cu,Mn,25,7,4,1.61,1.6,0.18162
Cu,Fe,26,8,4,1.56,1.64,-0.366682
Cu,Co,27,9,4,1.52,1.7,-0.247839
Cu,Ni,28,10,4,1.49,1.75,-0.016374
Cu,Zn,30,12,4,1.42,1.66,0.046087
Cu,Ga,31,13,4,1.36,1.82,0.127692
Cu,Ge,32,14,4,1.25,2.02,0.16939
Cu,Se,34,16,4,1.03,2.48,0.107541
Cu,Sr,38,2,5,2.19,0.99,1.160955
Cu,Y,39,3,5,2.12,1.11,1.12862
Cu,Zr,40,4,5,2.06,1.22,0.446038
Cu,Nb,41,5,5,1.98,1.23,-0.784387
Cu,Mo,42,6,5,1.9,1.3,-2.075003
Cu,Tc,43,7,5,1.83,1.36,-1.378251
Cu,Ru,44,8,5,1.78,1.42,-0.235337
Cu,Rh,45,9,5,1.73,1.45,0.146286
Cu,Pd,46,10,5,1.69,1.35,0.059583
Cu,Ag,47,11,5,1.65,1.42,0.071526
Cu,Cd,48,12,5,1.61,1.46,0.101859
Cu,In,49,13,5,1.56,1.49,0.252666
Cu,Sn,50,14,5,1.45,1.72,0.526534
Cu,Sb,51,15,5,1.33,1.82,0.769528
Cu,Te,52,16,5,1.23,2.01,0.675248
Cu,Hf,72,4,6,2.08,1.23,0.506781
Cu,Ta,73,5,6,2,1.33,-0.572173
Cu,W,74,6,6,1.93,1.4,-1.515764
Cu,Re,75,7,6,1.88,1.46,-1.440478
Cu,Os,76,8,6,1.85,1.52,-0.634448
Cu,Ir,77,9,6,1.8,1.55,0.057534
Cu,Pt,78,10,6,1.77,1.44,0.096109
Cu,Au,79,11,6,1.74,1.42,0.166998
Cu,Tl,81,13,6,1.56,1.44,0.231191
Cu,Pb,82,14,6,1.54,1.55,0.509197
